text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,red,z,incongruent,0,0,0,6,,,,,,,,,13.260350942611694,None,14.997061014175415,None,m,0,0.8170549869537354,14.997061014175415,None,14.512409925460815,15.03012490272522,15.891664028167725,None,15.882466578483582,16.401819944381714,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,0,1,1,19,,,,,,,,,,,17.923719882965088,None,m,1,0.5785119533538818,17.923719882965088,None,17.42970299720764,17.971303939819336,18.55744504928589,None,18.54393961429596,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,red,z,neutral,0,2,2,24,,,,,,,,,,,20.57758402824402,None,z,1,0.37291693687438965,20.57758402824402,None,20.084084033966064,20.625104904174805,21.032604932785034,None,21.02331259250641,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,0,3,3,17,,,,,,,,,,,23.062939882278442,None,m,1,0.46323108673095703,23.062939882278442,None,22.568891048431396,23.12535285949707,23.607969999313354,None,23.583077692985537,24.112376928329468,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,0,4,4,21,,,,,,,,,,,25.65507984161377,None,m,1,0.39927077293395996,25.65507984161377,None,25.16075301170349,25.71754503250122,26.14826202392578,None,26.12486960887909,26.651516914367676,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,0,5,5,13,,,,,,,,,,,28.19028902053833,None,m,1,0.34408998489379883,28.19028902053833,None,27.697521924972534,28.252896070480347,28.59447193145752,None,28.57054355144501,29.104835987091064,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,0,6,6,18,,,,,,,,,,,30.646230936050415,None,z,1,0.48003697395324707,30.646230936050415,None,30.151180028915405,30.708586931228638,31.185407876968384,None,31.160969519615175,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,0,7,7,20,,,,,,,,,,,33.224848985672,None,z,1,0.47736692428588867,33.224848985672,None,32.741108894348145,33.282328844070435,33.79904890060425,None,33.77536251544952,34.31006693840027,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,0,8,8,11,,,,,,,,,,,35.852288007736206,None,m,1,0.3619818687438965,35.852288007736206,None,35.35903787612915,35.914708852767944,36.30215001106262,None,36.277683520317076,36.806275844573975,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,green,m,neutral,0,9,9,3,,,,,,,,,,,38.346407890319824,None,m,1,0.5398521423339844,38.346407890319824,None,37.85324501991272,38.4089720249176,38.974851846694946,None,38.951379561424254,39.47119188308716,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
