text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,resp.rt,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
XXXXX,red,z,neutral,0,0,0,26,,,,,,,,,7.342802047729492,None,9.081718921661377,None,None,0,9.081718921661377,None,8.590757846832275,9.144078016281128,10.579478979110718,None,10.566341733932497,11.093003988265991,,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,1,1,32,,,,,,,,,,,12.555315017700195,None,z,1,12.555315017700195,None,12.072476863861084,12.6145179271698,13.015746831893921,None,12.999753022193909,13.525023937225342,0.4078230857849121,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,2,2,16,,,,,,,,,,,15.066887855529785,None,m,0,15.066887855529785,None,14.573421001434326,15.129448890686035,15.649909973144531,None,15.626048111915589,None,0.4885520935058594,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,0,3,3,24,,,,,,,,,,,17.69979691505432,None,m,0,17.69979691505432,None,17.206581830978394,17.762264013290405,18.142371892929077,None,18.125256085395815,18.64505100250244,0.3676109313964844,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,4,4,19,,,,,,,,,,,20.18302297592163,None,m,1,20.18302297592163,None,19.690052032470703,20.242471933364868,20.935999870300293,None,20.911911034584048,21.439613819122314,0.6843478679656982,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,5,5,30,,,,,,,,,,,22.986738920211792,None,z,1,22.986738920211792,None,22.493613958358765,23.049197912216187,23.392940998077393,None,23.366849207878115,23.892990827560425,0.32885193824768066,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,0,6,6,27,,,,,,,,,,,25.441004991531372,None,m,1,25.441004991531372,None,24.938604831695557,25.503469944000244,25.92882204055786,None,25.911164069175722,26.430984020233154,0.4024498462677002,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,0,7,7,14,,,,,,,,,,,27.97049903869629,None,m,0,27.97049903869629,None,27.47830891609192,28.033095836639404,28.68793797492981,None,28.66459324359894,None,0.624932050704956,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,0,8,8,12,,,,,,,,,,,30.726781845092773,None,z,1,30.726781845092773,None,30.235739946365356,30.788974046707153,31.400359869003296,None,31.37595012187958,None,0.5886068344116211,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,0,9,9,3,,,,,,,,,,,33.440449953079224,None,m,1,33.440449953079224,None,32.94816303253174,33.5029239654541,33.93373703956604,None,33.91033508777618,None,0.4031379222869873,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,0,10,10,1,,,,,,,,,,,35.97882294654846,None,m,1,35.97882294654846,None,35.486172914505005,36.041430950164795,36.51882290840149,None,36.494441056251524,None,0.4565749168395996,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,11,11,31,,,,,,,,,,,38.543293952941895,None,m,1,38.543293952941895,None,38.068187952041626,38.602460861206055,39.03412985801697,None,39.020463013648985,None,0.40406107902526855,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,12,12,8,,,,,,,,,,,41.07852602005005,None,z,1,41.07852602005005,None,40.58614683151245,41.140995025634766,41.48319697380066,None,41.45907809734344,None,0.3169741630554199,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,13,13,23,,,,,,,,,,,43.527225971221924,None,m,1,43.527225971221924,None,43.03439903259277,43.589592933654785,44.14548182487488,None,44.12151005268097,44.65032696723938,0.5562338829040527,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,0,14,14,13,,,,,,,,,,,46.16985583305359,None,m,1,46.16985583305359,None,45.69647288322449,46.228986978530884,46.742815017700195,None,46.719191098213194,47.253307819366455,0.5055861473083496,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,15,15,6,,,,,,,,,,,48.784729957580566,None,z,1,48.784729957580566,None,48.29164695739746,48.84713387489319,49.367106914520264,None,49.3437381029129,49.87731695175171,0.4826629161834717,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,16,16,28,,,,,,,,,,,51.41237497329712,None,z,1,51.41237497329712,None,50.91960382461548,51.47462487220764,52.26365900039673,None,52.240675234794615,None,0.7512490749359131,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,0,17,17,2,,,,,,,,,,,54.292677879333496,None,z,1,54.292677879333496,None,53.803410053253174,54.35208487510681,54.780449867248535,None,54.75639703273773,None,0.41490721702575684,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,18,18,35,,,,,,,,,,,56.81244683265686,None,m,1,56.81244683265686,None,56.337570905685425,56.87327194213867,57.47932696342468,None,57.45571210384369,57.9824378490448,0.5670020580291748,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,19,19,17,,,,,,,,,,,59.502941846847534,None,m,1,59.502941846847534,None,59.02796792984009,59.565372943878174,60.13073396682739,None,60.10699608325958,None,0.5645301342010498,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,0,20,20,25,,,,,,,,,,,62.15779495239258,None,m,1,62.15779495239258,None,61.67458200454712,62.22014403343201,62.74061298370361,None,62.71726515293121,None,0.5016880035400391,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,21,21,33,,,,,,,,,,,64.78346085548401,None,m,1,64.78346085548401,None,64.29107403755188,64.84585499763489,65.27765488624573,None,65.25379517078399,None,0.4042232036590576,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,22,22,22,,,,,,,,,,,67.31958889961243,None,z,1,67.31958889961243,None,66.82696890830994,67.3818850517273,67.81362795829773,None,67.7896471261978,None,0.39591193199157715,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,23,23,18,,,,,,,,,,,69.85806488990784,None,m,0,69.85806488990784,None,69.36550498008728,69.92051696777344,70.54779291152954,None,70.52987315654754,71.0611310005188,0.609360933303833,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,24,24,7,,,,,,,,,,,72.57500791549683,None,m,1,72.57500791549683,None,72.08194398880005,72.6374900341034,73.4706358909607,None,73.44680311679839,None,0.8364989757537842,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,25,25,20,,,,,,,,,,,75.50385999679565,None,z,1,75.50385999679565,None,75.0144100189209,75.56618404388428,76.08674192428589,None,76.06307413578033,None,0.4838278293609619,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,26,26,10,,,,,,,,,,,78.13119888305664,None,z,1,78.13119888305664,None,77.63874292373657,78.19367098808289,78.52093386650085,None,78.50669219493865,None,0.32012510299682617,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,27,27,9,,,,,,,,,,,80.5511200428009,None,m,1,80.5511200428009,None,80.05849504470825,80.6136839389801,81.10784196853638,None,81.08692262172698,81.59971404075623,0.4123849868774414,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,28,28,11,,,,,,,,,,,83.13615489006042,None,m,1,83.13615489006042,None,82.64293789863586,83.19866490364075,83.67547798156738,None,83.65153410434722,84.18124985694885,0.4674370288848877,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,29,29,5,,,,,,,,,,,85.72680497169495,None,m,1,85.72680497169495,None,85.23514604568481,85.78810095787048,86.1255829334259,None,86.10181620121001,86.634516954422,0.3089268207550049,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,30,30,21,,,,,,,,,,,88.17598700523376,None,m,1,88.17598700523376,None,87.68317985534668,88.23851895332336,88.66860389709473,None,88.6453840970993,89.173259973526,0.40383195877075195,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,31,31,34,,,,,,,,,,,90.71300792694092,None,z,1,90.71300792694092,None,90.21994495391846,90.77567601203918,91.16250395774841,None,91.13810303211211,91.66929697990417,0.3626279830932617,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
