text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,red,z,incongruent,0,0,0,2,,,,,42.17661905288696,None,44.427692890167236,None,m,0,0.7189731597900391,44.427692890167236,None,45.21307706832886,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,0,1,1,3,,,,,,,46.68511509895325,None,z,0,0.2534451484680176,46.68511509895325,None,46.99888801574707,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,0,2,2,1,,,,,,,48.50709295272827,None,m,1,0.4154798984527588,48.50709295272827,None,48.995152950286865,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,0,3,3,0,,,,,,,50.481208086013794,None,z,1,0.24910402297973633,50.481208086013794,None,50.7865149974823,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,1,0,4,1,,,,,,,52.27122402191162,None,m,1,0.2992250919342041,52.27122402191162,None,52.63139605522156,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,1,1,5,2,,,,,,,54.12344288825989,None,z,1,0.07907509803771973,54.12344288825989,None,54.28347897529602,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,1,2,6,3,,,,,,,55.77178597450256,None,m,1,0.25481390953063965,55.77178597450256,None,56.09271001815796,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,1,3,7,0,,,,,,,57.5781090259552,None,z,1,0.256105899810791,57.5781090259552,None,57.88430404663086,None,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,,,,,0,0,0,0,,,59.99096202850342,None,z,1,2.4995498657226562,59.99096202850342,None,,,58.92667889595032,None,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,,,,,0,1,1,2,,,63.03938007354736,None,m,0,2.1872611045837402,63.03938007354736,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,,,,,0,2,2,1,,,65.76665496826172,None,m,1,1.3318579196929932,65.76665496826172,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,,,,,0,3,3,3,,,67.6655580997467,None,m,1,0.5530250072479248,67.6655580997467,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,,,,,1,0,4,1,,,68.76385402679443,None,m,1,0.39870190620422363,68.76385402679443,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,,,,,1,1,5,2,,,69.7246880531311,None,z,1,0.38196301460266113,69.7246880531311,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,,,,,1,2,6,0,,,70.64432001113892,None,z,1,0.40634703636169434,70.64432001113892,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,,,,,1,3,7,3,,,71.58985495567322,None,m,1,0.4687211513519287,71.58985495567322,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,,,,,2,0,8,3,,,72.58507204055786,None,m,1,0.3375859260559082,72.58507204055786,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,,,,,2,1,9,2,,,73.4596939086914,None,m,0,0.6950161457061768,73.4596939086914,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,,,,,2,2,10,0,,,74.69256806373596,None,z,1,0.6940469741821289,74.69256806373596,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,,,,,2,3,11,1,,,75.93137907981873,None,m,1,0.5911228656768799,75.93137907981873,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,,,,,3,0,12,2,,,77.07418990135193,None,z,1,0.6161501407623291,77.07418990135193,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,,,,,3,1,13,0,,,78.22846794128418,None,z,1,0.5339610576629639,78.22846794128418,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,green,m,incongruent,,,,,3,2,14,1,,,79.30154609680176,None,m,1,0.4689669609069824,79.30154609680176,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,,,,,3,3,15,3,,,80.32441687583923,None,m,1,0.48618483543395996,80.32441687583923,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
red,red,z,congruent,,,,,4,0,16,0,,,81.36350107192993,None,z,1,0.5671260356903076,81.36350107192993,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,red,z,incongruent,,,,,4,1,17,2,,,82.47480797767639,None,z,1,0.5119931697845459,82.47480797767639,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
green,green,m,congruent,,,,,4,2,18,3,,,83.5108470916748,None,m,1,0.6118631362915039,83.5108470916748,None,,,,,,,006,01,standing,2021_Jul_31_2128,stroop-replication,2021.2.0,60.01757182555241,
