text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,red,z,incongruent,0,0,0,2,,,,,6.922079086303711,None,8.385642051696777,None,z,1,0.9921510219573975,8.385642051696777,None,9.435909986495972,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,red,z,congruent,0,1,1,0,,,,,,,10.919073104858398,None,z,1,0.6027481555938721,10.919073104858398,None,11.572558164596558,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,green,m,incongruent,0,2,2,1,,,,,,,13.052273988723755,None,m,1,0.629533052444458,13.052273988723755,None,13.724913120269775,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,0,3,3,3,,,,,,,15.219142198562622,None,m,1,0.7666959762573242,15.219142198562622,None,16.01647400856018,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,red,z,incongruent,1,0,4,2,,,,,,,17.50223708152771,None,z,1,0.8355228900909424,17.50223708152771,None,18.379775047302246,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,green,m,incongruent,1,1,5,1,,,,,,,19.868952989578247,None,m,1,0.6288449764251709,19.868952989578247,None,20.540367126464844,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,1,2,6,3,,,,,,,22.035759210586548,None,m,1,0.6382150650024414,22.035759210586548,None,22.703933000564575,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,red,z,congruent,1,3,7,0,,,,,,,24.202357053756714,None,z,1,0.583521842956543,24.202357053756714,None,24.835272073745728,None,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,green,m,incongruent,,,,,0,0,0,1,,,27.51900815963745,None,m,1,0.5307447910308838,27.51900815963745,None,,,25.869685173034668,None,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,red,z,congruent,,,,,0,1,1,0,,,28.58559799194336,None,z,1,0.4402129650115967,28.58559799194336,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,,,,,0,2,2,3,,,29.55265712738037,None,m,1,0.5932447910308838,29.55265712738037,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,red,z,incongruent,,,,,0,3,3,2,,,30.66882300376892,None,z,1,0.5010530948638916,30.66882300376892,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,red,z,incongruent,,,,,1,0,4,2,,,31.702227115631104,None,z,1,0.4596409797668457,31.702227115631104,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,green,m,incongruent,,,,,1,1,5,1,,,32.68572998046875,None,m,1,0.484050989151001,32.68572998046875,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,,,,,1,2,6,3,,,33.685686111450195,None,m,1,0.49226999282836914,33.685686111450195,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,red,z,congruent,,,,,1,3,7,0,,,34.68571400642395,None,z,1,0.6121160984039307,34.68571400642395,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,green,m,incongruent,,,,,2,0,8,1,,,35.81900501251221,None,m,1,0.7269999980926514,35.81900501251221,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,,,,,2,1,9,3,,,37.07020115852356,None,m,1,0.43567991256713867,37.07020115852356,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
red,red,z,congruent,,,,,2,2,10,0,,,38.034080028533936,None,z,1,0.46376991271972656,38.034080028533936,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,red,z,incongruent,,,,,2,3,11,2,,,39.03464198112488,None,z,1,0.47116684913635254,39.03464198112488,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
green,green,m,congruent,,,,,3,0,12,3,,,40.04603409767151,None,m,1,0.5479309558868408,40.04603409767151,None,,,,,,,008,01,sitting,2021_Aug_01_1824,stroop-replication,2021.2.0,59.916146331080576,
