participant,posture,session,date,text,letterColor,correctAnswer,congruent,trial_loop.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,word.started,resp.keys,resp.corr,resp.rt,resp.started
1.0,sitting,1.0,2021-08-09 15:00:00,XXXXX,green,m,neutral,0.0,0.0,0.0,27.0,109.35948419570924,m,1.0,0.7987117767333984,109.35948419570924
1.0,sitting,1.0,2021-08-09 15:00:00,green,red,z,incongruent,0.0,1.0,1.0,18.0,112.24915313720705,z,1.0,0.3571259975433349,112.24915313720705
1.0,sitting,1.0,2021-08-09 15:00:00,green,green,m,congruent,0.0,2.0,2.0,33.0,114.6874701976776,m,1.0,0.5270161628723145,114.6874701976776
1.0,sitting,1.0,2021-08-09 15:00:00,XXX,green,m,neutral,0.0,3.0,3.0,13.0,117.33810806274414,m,1.0,0.3403959274291992,117.33810806274414
1.0,sitting,1.0,2021-08-09 15:00:00,red,green,m,incongruent,0.0,4.0,4.0,5.0,119.77411818504332,m,1.0,0.3364708423614502,119.77411818504332
1.0,sitting,1.0,2021-08-09 15:00:00,green,red,z,incongruent,0.0,5.0,5.0,16.0,122.2028341293335,z,1.0,0.3236610889434814,122.2028341293335
1.0,sitting,1.0,2021-08-09 15:00:00,green,green,m,congruent,0.0,6.0,6.0,35.0,124.60295510292052,m,1.0,0.3875830173492431,124.60295510292052
1.0,sitting,1.0,2021-08-09 15:00:00,XXXXX,red,z,neutral,0.0,7.0,7.0,2.0,127.10654711723328,z,1.0,0.4277670383453369,127.10654711723328
1.0,sitting,1.0,2021-08-09 15:00:00,XXXXX,green,m,neutral,0.0,8.0,8.0,3.0,129.64768409729004,m,1.0,0.3829398155212402,129.64768409729004
1.0,sitting,1.0,2021-08-09 15:00:00,green,green,m,congruent,0.0,9.0,9.0,11.0,132.1113531589508,m,1.0,0.4309349060058594,132.1113531589508
1.0,sitting,1.0,2021-08-09 15:00:00,XXX,red,z,neutral,0.0,10.0,10.0,0.0,134.65589499473572,z,1.0,0.4144191741943359,134.65589499473572
1.0,sitting,1.0,2021-08-09 15:00:00,red,red,z,congruent,0.0,11.0,11.0,22.0,137.13218522071838,z,1.0,0.4824740886688232,137.13218522071838
1.0,sitting,1.0,2021-08-09 15:00:00,XXX,green,m,neutral,0.0,12.0,12.0,1.0,139.71557211875916,m,1.0,0.2830748558044433,139.71557211875916
